,County_x,State short,num_players,county_state,County ID,County Fips,County_y,Median Household Income,Population,year,state,income,y_pred,residual
36,ELKHART,IN,2,"ELKHART, IN",18,18039,ELKHART,"$54,582",203781,2016,IN,54582.0,1.0014350938576375,0.9985649061423625
37,ESSEX,MA,1,"ESSEX, MA",25,25009,ESSEX,"$73,503",779018,2016,MA,73503.0,2.3341212405243192,-1.3341212405243192
38,ESSEX,NJ,4,"ESSEX, NJ",34,34013,ESSEX,"$54,879",796914,2016,NJ,54879.0,2.1631783099277375,1.8368216900722625
39,FAIRFIELD,CT,5,"FAIRFIELD, CT",9,9001,FAIRFIELD,"$89,954",944177,2016,CT,89954.0,2.8385690950227755,2.1614309049772245
40,FORSYTH,GA,1,"FORSYTH, GA",13,13117,FORSYTH,"$101,804",221009,2016,GA,101804.0,1.557142024800394,-0.557142024800394
41,FRANKLIN,OH,3,"FRANKLIN, OH",39,39049,FRANKLIN,"$56,090",1264518,2016,OH,56090.0,3.089853005594354,-0.08985300559435405
42,FRESNO,CA,1,"FRESNO, CA",6,6019,FRESNO,"$48,323",979915,2016,CA,48323.0,2.448121902093097,-1.448121902093097
43,FULTON,GA,3,"FULTON, GA",13,13121,FULTON,"$62,824",1023336,2016,GA,62824.0,2.693242817997413,0.30675718200258695
44,GLOUCESTER,NJ,1,"GLOUCESTER, NJ",34,34015,GLOUCESTER,"$79,332",292330,2016,NJ,79332.0,1.448003296504774,-0.448003296504774
45,GREENE,MO,1,"GREENE, MO",29,29077,GREENE,"$42,802",288690,2016,MO,42802.0,1.0370398030738113,-0.03703980307381127
46,GUILFORD,NC,3,"GUILFORD, NC",37,37081,GUILFORD,"$47,754",521330,2016,NC,47754.0,1.5461599665880912,1.4538400334119088
47,GWINNETT,GA,4,"GWINNETT, GA",13,13135,GWINNETT,"$67,197",907135,2016,GA,67197.0,2.514633662517186,1.485366337482814
48,HAMILTON,OH,1,"HAMILTON, OH",39,39061,HAMILTON,"$53,344",809099,2016,OH,53344.0,2.170007018937952,-1.1700070189379521
49,HANOVER,VA,1,"HANOVER, VA",51,51085,HANOVER,"$83,405",104392,2016,VA,83405.0,1.1259665685456235,-0.1259665685456235
50,HARRIS,TX,4,"HARRIS, TX",48,48201,HARRIS,"$56,415",4589928,2016,TX,56415.0,9.588369863889747,-5.588369863889747
51,HARTFORD,CT,2,"HARTFORD, CT",9,9003,HARTFORD,"$69,341",892389,2016,CT,69341.0,2.5095357587651286,-0.5095357587651286
52,HENNEPIN,MN,2,"HENNEPIN, MN",27,27053,HENNEPIN,"$71,184",1232483,2016,MN,71184.0,3.194155178161944,-1.1941551781619442
53,HENRICO,VA,1,"HENRICO, VA",51,51087,HENRICO,"$66,524",326501,2016,VA,66524.0,1.3731456555678754,-0.3731456555678754
54,HENRY,GA,1,"HENRY, GA",13,13151,HENRY,"$67,150",221768,2016,GA,67150.0,1.1755102547116107,-0.17551025471161075
55,HILLSBOROUGH,FL,3,"HILLSBOROUGH, FL",12,12057,HILLSBOROUGH,"$54,509",1376238,2016,FL,54509.0,3.2905769371176543,-0.2905769371176543
56,HILLSBOROUGH,NH,1,"HILLSBOROUGH, NH",33,33011,HILLSBOROUGH,"$75,997",407761,2016,NH,75997.0,1.6365840656742106,-0.6365840656742106
57,HONOLULU,HI,1,"HONOLULU, HI",15,15003,HONOLULU,"$80,012",992605,2016,HI,80012.0,2.823241887813799,-1.8232418878137988
58,HOWARD,MD,1,"HOWARD, MD",24,24027,HOWARD,"$119,386",317233,2016,MD,119386.0,1.9394552403923107,-0.9394552403923107
59,HUDSON,NJ,1,"HUDSON, NJ",34,34017,HUDSON,"$63,157",677983,2016,NJ,63157.0,2.0224085147665742,-1.0224085147665742
60,JEFFERSON,AL,2,"JEFFERSON, AL",1,1073,JEFFERSON,"$50,109",659521,2016,AL,50109.0,1.8420990251093614,0.1579009748906386
61,JEFFERSON,CO,1,"JEFFERSON, CO",8,8059,JEFFERSON,"$74,342",571837,2016,CO,74342.0,1.9387474329262804,-0.9387474329262804
62,JOHNSON,KS,4,"JOHNSON, KS",20,20091,JOHNSON,"$80,872",584451,2016,KS,80872.0,2.035575914231247,1.9644240857687532
63,KERN,CA,2,"KERN, CA",6,6029,KERN,"$49,812",884788,2016,CA,49812.0,2.278788988347017,-0.27878898834701715
64,KING,WA,17,"KING, WA",53,53033,KING,"$85,907",2149970,2016,WA,85907.0,5.148885936821696,11.851114063178304
65,KINGS,NY,1,"KINGS, NY",36,36047,KINGS,"$54,793",2629150,2016,NY,54793.0,5.740803808966597,-4.740803808966597
66,LEHIGH,PA,2,"LEHIGH, PA",42,42077,LEHIGH,"$60,243",363147,2016,PA,60243.0,1.3752806488583178,0.6247193511416822
67,LOS ANGELES,CA,25,"LOS ANGELES, CA",6,6037,LOS ANGELES,"$61,308",10137915,2016,CA,61308.0,20.47834680552618,4.521653194473821
68,MADISON,IL,1,"MADISON, IL",17,17119,MADISON,"$56,297",265759,2016,IL,56297.0,1.1414455765344358,-0.1414455765344358
69,MANATEE,FL,1,"MANATEE, FL",12,12081,MANATEE,"$51,770",375888,2016,FL,51770.0,1.3064928558877873,-0.3064928558877873
70,MARICOPA,AZ,4,"MARICOPA, AZ",4,4013,MARICOPA,"$58,742",4242997,2016,AZ,58742.0,8.936498025844717,-4.936498025844717
71,MARIN,CA,1,"MARIN, CA",6,6041,MARIN,"$103,488",260651,2016,CA,103488.0,1.6531849076799428,-0.6531849076799428
72,MARION,IN,1,"MARION, IN",18,18097,MARION,"$45,300",941229,2016,IN,45300.0,2.339143007297097,-1.3391430072970971
73,MECKLENBURG,NC,1,"MECKLENBURG, NC",37,37119,MECKLENBURG,"$63,197",1054835,2016,NC,63197.0,2.7588878041110507,-1.7588878041110507
74,MEDINA,OH,1,"MEDINA, OH",39,39103,MEDINA,"$73,148",177221,2016,OH,73148.0,1.1548149813988422,-0.1548149813988422
75,MERCER,NJ,1,"MERCER, NJ",34,34021,MERCER,"$76,988",371023,2016,NJ,76988.0,1.5757862649709398,-0.5757862649709398
76,MIAMI-DADE,FL,4,"MIAMI-DADE, FL",12,12086,MIAMI-DADE,"$45,886",2712945,2016,FL,45886.0,5.805994936557921,-1.805994936557921
77,MIDDLESEX,MA,2,"MIDDLESEX, MA",25,25017,MIDDLESEX,"$94,977",1589774,2016,MA,94977.0,4.155028653111197,-2.155028653111197
78,MILWAUKEE,WI,1,"MILWAUKEE, WI",55,55079,MILWAUKEE,"$47,666",951448,2016,WI,47666.0,2.385259038451752,-1.385259038451752
79,MONMOUTH,NJ,1,"MONMOUTH, NJ",34,34025,MONMOUTH,"$89,968",625846,2016,NJ,89968.0,2.2169853170005913,-1.2169853170005913
80,MONROE,IL,2,"MONROE, IL",17,17133,MONROE,"$83,139",34068,2016,IL,83139.0,0.9856746381814857,1.0143253618185142
81,MONTGOMERY,AL,1,"MONTGOMERY, AL",1,1101,MONTGOMERY,"$45,111",226349,2016,AL,45111.0,0.9408073089183568,0.059192691081643156
82,MONTGOMERY,MD,6,"MONTGOMERY, MD",24,24031,MONTGOMERY,"$99,604",1043863,2016,MD,99604.0,3.139952496720322,2.860047503279678
83,MONTGOMERY,PA,2,"MONTGOMERY, PA",42,42091,MONTGOMERY,"$84,156",821725,2016,PA,84156.0,2.5353064101781033,-0.5353064101781033
84,MORRIS,NJ,3,"MORRIS, NJ",34,34027,MORRIS,"$107,019",498423,2016,NJ,107019.0,2.1566187435876087,0.8433812564123913
85,MULTNOMAH,OR,1,"MULTNOMAH, OR",41,41051,MULTNOMAH,"$62,292",799766,2016,OR,62292.0,2.250702363800714,-1.250702363800714
86,NAPA,CA,1,"NAPA, CA",6,6055,NAPA,"$73,112",142166,2016,CA,73112.0,1.0859503748243513,-0.0859503748243513
87,NASSAU,NY,1,"NASSAU, NY",36,36059,NASSAU,"$105,486",1361500,2016,NY,105486.0,3.825363508686639,-2.825363508686639
88,NEW CASTLE,DE,2,"NEW CASTLE, DE",10,10003,NEW CASTLE,"$67,246",556987,2016,DE,67246.0,1.8312944137058027,0.1687055862941973
89,NEW HAVEN,CT,1,"NEW HAVEN, CT",9,9009,NEW HAVEN,"$66,012",856875,2016,CT,66012.0,2.4033692041760677,-1.4033692041760677
90,NEW YORK,NY,4,"NEW YORK, NY",36,36061,NEW YORK,"$77,214",1643734,2016,NY,77214.0,4.064041740370856,-0.06404174037085575
91,NORTHAMPTON,PA,1,"NORTHAMPTON, PA",42,42095,NORTHAMPTON,"$65,730",302294,2016,PA,65730.0,1.3170884907273144,-0.3170884907273144
92,OAKLAND,MI,1,"OAKLAND, MI",26,26125,OAKLAND,"$72,078",1243970,2016,MI,72078.0,3.226474201185287,-2.226474201185287
93,OKALOOSA,FL,1,"OKALOOSA, FL",12,12091,OKALOOSA,"$58,009",201170,2016,FL,58009.0,1.034222389308042,-0.034222389308042
94,OKLAHOMA,OK,1,"OKLAHOMA, OK",40,40109,OKLAHOMA,"$51,082",782970,2016,OK,51082.0,2.0939666156986205,-1.0939666156986205
95,ORANGE,CA,9,"ORANGE, CA",6,6059,ORANGE,"$81,642",3172532,2016,CA,81642.0,7.098920619660607,1.901079380339393
96,PALM BEACH,FL,2,"PALM BEACH, FL",12,12099,PALM BEACH,"$57,607",1443810,2016,FL,57607.0,3.456802803933047,-1.456802803933047
97,PASSAIC,NJ,3,"PASSAIC, NJ",34,34031,PASSAIC,"$61,517",507945,2016,NJ,61517.0,1.6721730708571168,1.3278269291428832
98,PAYNE,OK,2,"PAYNE, OK",40,40119,PAYNE,"$42,035",81131,2016,OK,42035.0,0.6231727273064565,1.3768272726935435
99,PHILADELPHIA,PA,6,"PHILADELPHIA, PA",42,42101,PHILADELPHIA,"$41,514",1567872,2016,PA,41514.0,3.521196025016601,2.478803974983399
100,PIERCE,WA,2,"PIERCE, WA",53,53053,PIERCE,"$64,312",861312,2016,WA,64312.0,2.393240998894629,-0.3932409988946288
101,PIMA,AZ,1,"PIMA, AZ",4,4019,PIMA,"$47,644",1016206,2016,AZ,47644.0,2.511495946289659,-1.511495946289659
102,PINAL,AZ,2,"PINAL, AZ",4,4021,PINAL,"$52,642",418540,2016,AZ,52642.0,1.3994376359762057,0.6005623640237943
103,PINELLAS,FL,1,"PINELLAS, FL",12,12103,PINELLAS,"$49,974",960730,2016,FL,49974.0,2.42890378263181,-1.42890378263181
104,PLACER,CA,5,"PLACER, CA",6,6061,PLACER,"$85,326",380531,2016,CA,85326.0,1.686536538216007,3.313463461783993
105,PORTAGE,OH,1,"PORTAGE, OH",39,39133,PORTAGE,"$52,947",161921,2016,OH,52947.0,0.9016019065417634,0.09839809345823658
106,PRINCE WILLIAM,VA,2,"PRINCE WILLIAM, VA",51,51153,PRINCE WILLIAM,"$97,549",455210,2016,VA,97549.0,1.9675238457203374,0.03247615427966255
107,QUEENS,NY,2,"QUEENS, NY",36,36081,QUEENS,"$61,844",2333054,2016,NY,61844.0,5.240444570094526,-3.2404445700945264
108,RICE,MN,1,"RICE, MN",27,27131,RICE,"$67,726",65622,2016,MN,67726.0,0.8769063391479397,0.1230936608520603
109,RIVERSIDE,CA,5,"RIVERSIDE, CA",6,6065,RIVERSIDE,"$59,951",2387741,2016,CA,59951.0,5.326326936586645,-0.3263269365866446
110,RUTHERFORD,TN,1,"RUTHERFORD, TN",47,47149,RUTHERFORD,"$61,232",308251,2016,TN,61232.0,1.2789959894485197,-0.27899598944851967
111,SACRAMENTO,CA,7,"SACRAMENTO, CA",6,6067,SACRAMENTO,"$59,728",1514460,2016,CA,59728.0,3.6182392374015677,3.3817607625984323
112,SALT LAKE,UT,2,"SALT LAKE, UT",49,49035,SALT LAKE,"$68,404",1121354,2016,UT,68404.0,2.9463728961481244,-0.9463728961481244
113,SAN BERNARDINO,CA,2,"SAN BERNARDINO, CA",6,6071,SAN BERNARDINO,"$56,194",2140096,2016,CA,56194.0,4.8011114269538515,-2.8011114269538515
114,SAN DIEGO,CA,17,"SAN DIEGO, CA",6,6073,SAN DIEGO,"$70,693",3317749,2016,CA,70693.0,7.261501118929823,9.738498881070177
115,SAN FRANCISCO,CA,2,"SAN FRANCISCO, CA",6,6075,SAN FRANCISCO,"$101,873",870887,2016,CA,101873.0,2.827194385869185,-0.827194385869185
116,SAN JOAQUIN,CA,4,"SAN JOAQUIN, CA",6,6077,SAN JOAQUIN,"$59,038",733709,2016,CA,59038.0,2.0857108293577804,1.9142891706422196
117,SAN MATEO,CA,1,"SAN MATEO, CA",6,6081,SAN MATEO,"$107,075",764797,2016,CA,107075.0,2.6774981590083944,-1.6774981590083944
118,SANTA BARBARA,CA,3,"SANTA BARBARA, CA",6,6083,SANTA BARBARA,"$66,360",446170,2016,CA,66360.0,1.6050604521213248,1.3949395478786752
119,SANTA CLARA,CA,8,"SANTA CLARA, CA",6,6085,SANTA CLARA,"$110,843",1919402,2016,CA,110843.0,4.97423673991501,3.0257632600849904
