,city,club,date,level,name,position,state
1043,Herriman,Real Salt Lake,2017/11/20,U-18,David Ochoa,Goalkeeper,Utah
1044,New York,New York City FC,2017/11/20,U-18,Alex Rando,Goalkeeper,New York
1045,Lompoc,Barca Academy,2017/11/20,U-18,Julian Araujo,Defender,California
1046,Douglasville,Atlanta United FC,2017/11/20,U-18,George Bello,Defender,Georgia
1047,Wilton,New York City FC,2017/11/20,U-18,Nico Benalcazar,Defender,Connecticut
1048,Littleton,Colorado Rapids,2017/11/20,U-18,Luke Hansen,Defender,Colorado
1049,Chicago,Chicago Fire,2017/11/20,U-18,David Mendoza,Defender,Illinois
1050,Corona,LA Galaxy,2017/11/20,U-18,Leonardo Sepulveda,Defender,California
1051,Indio,LA Galaxy,2017/11/20,U-18,Oscar Cervantes,Midfielder,California
1052,Overland Park,Sporting Kansas City,2017/11/20,U-18,Cameron Duke,Midfielder,Kansas
1053,Brooklyn,New York City FC,2017/11/20,U-18,Justin Haak,Midfielder,New York
1054,Mesquite,FC Dallas,2017/11/20,U-18,Luis Hernandez,Midfielder,Texas
1055,Woodbridge,D.C. United,2017/11/20,U-18,Nelson Martinez,Midfielder,Virginia
1056,New Albany,Crew SC Academy,2017/11/20,U-18,Aidan Morris,Midfielder,Ohio
1057,Los Angeles,LA Galaxy,2017/01/23,U-18,Eric Lopez,Goalkeeper,California
1058,Tukwila,Seattle Sounders,2017/01/23,U-18,Trey Muse,Goalkeeper,Washington
1059,Greensboro,NC Fusion,2017/01/23,U-18,Alec Smir,Goalkeeper,North Carolina
1081,Norridge,Chicago Fire,2017/11/30,U-17,Damian Las,Goalkeeper,Illinois
1082,Happy Valley,Portland Timbers,2017/11/30,U-17,Kashope Oladapo,Goalkeeper,Oregon
1083,Chicago,FC United Soccer Club,2017/11/30,U-17,Axel Alejandre,Defender,Illinois
1084,Highlands Ranch,Colorado Rapids,2017/11/30,U-17,Sebastian Anderson,Defender,Colorado
1085,Douglasville,Atlanta United FC,2017/11/30,U-17,George Bello,Defender,Georgia
1086,Tampa,Chargers Soccer Club,2017/11/30,U-17,Mason Judge,Defender,Florida
1087,Irvine,Pateadores,2017/11/30,U-17,Kenneth Nielsen,Defender,California
1088,Lake Grove,New York City FC,2017/11/30,U-17,Joseph Scally,Defender,New York
1089,Bellevue,Seattle Sounders FC,2017/11/30,U-17,Joshua Atencio,Midfielder,Washington
1090,Greenboro,Sporting Kansas City,2017/11/30,U-17,Gianluca Busio,Midfielder,North Carolina
1091,Panorama City,Real So Cal,2017/11/30,U-17,Adam Saldana,Midfielder,California
1092,Tracy,San Jose Earthquakes,2017/11/30,U-17,Gilbert Fuentes Perez,Midfielder,California
1093,San Francisco,VFB Stuttgart,2017/11/30,U-17,Maximillian Goeggel,Midfielder,California
1094,Chester,New York Red Bulls,2017/11/30,U-17,Peter Stroud,Midfielder,New Jersey
1095,Austin,Lonestar Soccer Club,2017/11/30,U-17,Julian Gaines,Forward,Texas
1096,Naperville,Sockers FC,2017/11/30,U-17,Cade Hagan,Forward,Illinois
1097,Chino,FC Golden State,2017/11/30,U-17,Diego Lopez,Forward,California
1098,Fresno,Seattle Sounders FC,2017/11/30,U-17,Alfonso Ocampo Chavez,Forward,California
1099,Frisco,FC Dallas,2017/11/30,U-17,Dante Sealy,Forward,Texas
1100,Graham,Seattle Sounders FC,2017/11/30,U-17,Ray Serrano,Forward,Washington
1145,Los Angeles,LA Galaxy,2017/10/02,U-18,Eric Lopez,Goalkeeper,California
1146,Petaluma,FC Koln,2017/10/02,U-18,Brady Scott,Goalkeeper,California
1147,Lompoc,Barca Academy,2017/10/02,U-18,Julian Araujo,Defender,California
1148,Bear,Wake Forest,2017/10/02,U-18,Mark McKenzie,Defender,Delaware
1149,Drexel Hill,Philadelphia Union,2017/10/02,U-18,Matthew Real,Defender,Pennsylvania
1150,Columbia,Saint Louis FC Academy,2017/10/02,U-18,Aedan Stanely,Defender,Illinois
1151,San Diego,Club Tijuana,2017/10/02,U-18,Angel Uribe,Defender,California
1152,Santa Barbara,Stanford,2017/10/02,U-18,Carson Vom Steeg,Defender,California
1153,Granite Bay,Sacramento Republic FC,2016/06/01,U-18,Cameron Douglas,Goalkeeper,California
1154,Los Angeles,LA Galaxy,2016/06/01,U-18,Eric Lopez,Goalkeeper,California
1155,Petaluma,De Anza Force Academy,2016/06/01,U-18,Brady Scott,Goalkeeper,California
1156,Wappingers Fall,New York Red Bulls,2016/06/01,U-18,Tyler Adams,Defender,New York
1157,Saddle River,Leicester City,2016/06/01,U-18,Kyle Gruno,Defender,New Jersey
1158,West Hartford,New England Revolution Academy,2016/06/01,U-18,Daniel Jones,Defender,Connecticut
1159,Drexel Hill,Philadelphia Union,2016/06/01,U-18,Matthew Real,Defender,New Jersey
1160,Columbia,St. Louis Scott Gallagher SC,2016/06/01,U-18,Aedan Stanely,Defender,Illinois
1161,San Diego,Club Tijuana,2016/06/01,U-18,Angel Uribe,Defender,California
1162,Santa Barbara,Real So Cal,2016/06/01,U-18,Carson Vom Steeg,Defender,California
1163,Sanford,Orlando City SC Academy,2016/06/01,U-18,Raul Aguilera,Midfielder,Florida
1164,Del Ray Beach,Genoa C.F.C,2016/06/01,U-18,Paolo Belloni Urso,Midfielder,Florida
1165,Granite Bay,Sacramento Republic,2016/08/08,U-18,Cameron Douglas,Goalkeeper,California
1166,Petaluma,De Anza Force,2016/08/08,U-18,Brady Scott,Goalkeeper,California
1167,Saddle River,Leicester City,2016/08/08,U-18,Kyle Gruno,Defender,New Jersey
1168,West Hartford,New England Revolution,2016/08/08,U-18,Daniel Jones,Defender,Connecticut
1169,Caseyville,St. Louis Scott Gallagher,2016/08/08,U-18,Jack Maher,Defender,Illinois
1170,Drexel Hill,Philadelphia Union,2016/08/08,U-18,Matthew Real,Defender,Pennsylvania
1171,Columbia,Saint Louis FC,2016/08/08,U-18,Aedan Stanley,Defender,Illinois
1172,Santa Barbara,Real So Cal,2016/08/08,U-18,Carson Vom Steeg,Defender,California
1173,Manassas,DC United,2016/08/08,U-18,Jose Carranza,Midfielder,Virginia
1174,Santa Rosa,C.F. Monterrey,2016/08/08,U-18,Jonathan Gonzalez,Midfielder,California
1175,San Jose,San Jose Earthquakes,2016/08/08,U-18,Andrew Paoli,Midfielder,California
1176,Highland Village,FC Dallas,2016/08/08,U-18,Paxton Pomykal,Midfielder,Texas
1177,Birmingham,FC Dallas,2016/08/08,U-18,Brandon Servania,Midfielder,Alabama
1178,Midlothian,Unattached,2016/08/08,U-18,Nick Taitague,Midfielder,Virginia
1179,Sacramento,Sacramento Republic,2016/08/08,U-18,Shaft Brewer,Forward,California
1180,Evergreen,Colorado Rush,2016/08/08,U-18,Griffin Dorsey,Forward,Colorado
1181,San Diego,Club Tijuana,2016/08/08,U-18,Ernesto Espinoza,Forward,California
1182,New York,AIK Fotboll,2016/08/08,U-18,Nebiyou Perry,Forward,New York
1183,Hamilton,New England Revolution,2016/08/08,U-18,Justin Rennicks,Forward,Massachusetts
1184,Sarasota,Unattached,2016/08/08,U-18,Aristotle Zarris,Forward,Florida
1193,Kingwood,Texans SC Houston,2016/04/26,U-18,Andrew Morrison,Goalkeeper,Texas
1194,Petaluma,De Anza Force Academy,2016/04/26,U-18,Brady Scott,Goalkeeper,California
1195,Leicester,Leicester City,2016/04/26,U-18,Kyle Gruno,Defender,England
1196,Highlands Ranch,Real Colorado,2016/04/26,U-18,Bailey Heller,Defender,Colorado
1197,Drexel Hill,Philadelphia Union,2016/04/26,U-18,Matthew Real,Defender,Pennsylvania
1198,Dallas,FC Dallas,2016/04/26,U-18,Mark Salas,Defender,Texas
1199,Columbia,St. Louis Scott Gallagher Missouri Academy,2016/04/26,U-18,Aedan Stanley,Defender,Illinois
1200,Tijuana,Club Tijuana,2016/04/26,U-18,Angel Uribe,Defender,Mexico
1201,Santa Barbara,Real So Cal,2016/04/26,U-18,Carson Vom Steeg,Defender,California
1202,Sanford,Orlando City SC Acadmey,2016/04/26,U-18,Raul Aguilera Jr.,Midfielder,Florida
1203,Manassas,DC United,2016/04/26,U-18,Jose Carranza,Midfielder,Virginia
1204,Newark,Philadelphia Union,2016/04/26,U-18,Anthony Fontana,Midfielder,Delaware
1205,San Jose,San Jose Earthquakes,2016/04/26,U-18,Andrew Paoli,Midfielder,California
1206,Highland Village,FC Dallas,2016/04/26,U-18,Paxton Pomykal,Midfielder,Texas
1207,Dallas,FC Dallas,2016/04/26,U-18,Brandon Servania,Midfielder,Texas
1208,Midlothian,Carolina RailHawks FC,2016/04/26,U-18,Nicholas Taitague,Midfielder,Virginia
1209,Sacramento,Sacramento Republic FC,2016/04/26,U-18,Shaft Brewer Jr.,Forward,California
1210,Evergreen,Colorado Rush,2016/04/26,U-18,Griffin Dorsey,Forward,Colorado
1211,Melbourne Beach,Orlando City SC Academy,2016/04/26,U-18,Landen Haig,Forward,Florida
1212,Eden Prairie,Minnesota Thunder,2016/04/26,U-18,Thomas Katsiyiannis,Forward,Minnesota
1213,Hamilton,New England Revolution Academy,2016/04/26,U-18,Justin Rennicks,Forward,Massachusetts
1214,Bellevue,Seattle Sounders,2016/04/26,U-18,Kei Tomozawa,Forward,Washington
1215,Casa Grande,Real Salt Lake AZ,2016/04/26,U-18,Aristotle Zarris,Forward,Arizona
1216,Issaquah,Seattle Sounders FC,2018/05/03,U-19,Sam Fowler,Goalkeeper,Washington
1217,Miami,Atlanta United FC,2018/05/03,U-19,Justin Garces,Goalkeeper,Florida
1218,Glendora,LA Galaxy,2018/05/03,U-19,Jake Arteaga,Defender,California
1219,Roswell,Atlanta United FC,2018/05/03,U-19,Charlie Asensio,Defender,Georgia
1220,San Jose,San Jose Earthquakes,2018/05/03,U-19,Jean-Julien Foe Nuphaus,Defender,California
1221,Montclair,Hannover 96,2018/05/03,U-19,Chris Gloster,Defender,New Jersey
1222,Palm Beach,Atlanta United FC,2018/05/03,U-19,Rayshaun McGann,Defender,Florida
1223,Rye,New York City FC,2018/05/03,U-19,James Sands,Defender,New York
1224,Fort Wayne,Unattached,2018/05/03,U-19,Akil Watts,Defender,Indiana
1225,Eden,Unattached,2018/05/03,U-19,Taylor Booth,Midfielder,Utah
1226,Southlake,Solar Soccer Club,2018/05/03,U-19,Blaine Ferri,Midfielder,Texas
1227,Kirkland,Crossfire Premier,2018/05/03,U-19,Declan McGlynn,Midfielder,Washington
1228,Cleveland,Columbus Crew,2018/05/03,U-19,Isaiah Parente,Midfielder,Ohio
1229,Olmsted Falls,Crew SC Academy,2018/05/03,U-19,Sean Zawadzki,Midfielder,Ohio
1230,San Marcos,Pateadores,2018/05/03,U-19,Kyle Holcomb,Forward,California
1231,Littleton,Colorado Rapids,2018/05/03,U-19,Matt Hundley,Forward,Colorado
1232,Clarkston,FC Schalke 04,2018/05/03,U-19,Zyen Jones,Forward,Georgia
1233,Delran,Philadelphia Union,2018/05/03,U-19,Jeremy Rafanello,Forward,New Jersey
1234,Monterrey,C.F. Monterrey,2018/05/03,U-19,Jacobo Reyes,Forward,Mexico
1235,Casa Grande,Real Salt Lake,2018/05/03,U-19,Sebastian Soto,Forward,Arizona
1236,Wayne,Philadelphia Union,2017/02/03,U-19,Matthew Freese,Goalkeeper,Pennsylvania
1237,Mitchellville,D.C. United,2017/02/03,U-19,Noah Lawrence,Goalkeeper,Maryland
1238,Bethlehem,UCLA,2017/02/03,U-19,Kevin Silva,Goalkeeper,Pennsylvania
1239,Allentown,West Bromwich Albion F.C.,2017/02/03,U-19,Daniel Barbir,Defender,Pennsylvania
1240,Nashville,Clemson,2017/02/03,U-19,Tanner Dieterich,Defender,Tennessee
1241,Portland,Portland Timbers,2017/02/03,U-19,Marco Farfan,Defender,Oregon
1242,Indianapolis,Indianapolis Fire,2017/02/03,U-19,Justin Ingram,Defender,Indiana
1243,McKinney,SMU,2017/02/03,U-19,Edwin Munjoma,Defender,Texas
1244,Highland Village,FC Dallas,2017/02/03,U-19,Brandon Terwege,Defender,Texas
1245,Spring Valley,Cal Poly,2017/02/03,U-19, Christian Enriquez,Midfielder,California
1246,Wethersfield,Providence College,2017/02/03,U-19,Daniel Griffin,Midfielder,Connecticut
1247,Murfreesboro,Swope Park Rangers,2017/02/03,U-19,Felipe Hernandez,Midfielder,Tennessee
1248,Lawrenceville,Atlanta United FC,2017/02/03,U-19,Michael Ille,Midfielder,Georgia
1249,Escondido,Real Salt Lake,2017/02/03,U-19,Milan Iloski,Midfielder,California
1250,Roseville,Sacramento Republic FC,2017/02/03,U-19,Ryley Kraft,Midfielder,California
1251,Tucker,Atlanta United FC,2017/02/03,U-19,Lagos Kunga,Midfielder,Georgia
1252,Bellevue,California-Berkley,2017/02/03,U-19,Simon Lekressner,Midfielder,Washington
1253,Johnson City,Swope Park Rangers,2017/02/03,U-19,William Little III,Midfielder,Tennessee
1254,Bridgeview,Chicago Fire,2017/02/03,U-19,Djordje Mihailovic,Midfielder,Illinois
1255,Columbia,George Mason,2017/02/03,U-19,Grant Robinson,Midfielder,Maryland
1256,Mary Esther,Leg-A-Z,2017/02/03,U-19,Nelson Hunsinger,Forward,Florida
1257,South Orange,PDA,2017/02/03,U-19,Mason Toye,Forward,New Jersey
1258,Mechanicsville,Borussia Dortmund,2016/11/04,U-19,Will Pulisic,Goalkeeper,Virginia
1259,Weston,Ft. Lauderdale Strikers,2016/11/04,U-19,Matias Reynares,Goalkeeper,Florida
1260,Allentown,West Bromwich Albion,2016/11/04,U-19,Danny Barbir,Defender,Pennsylvania
1261,Nashville,Clemson,2016/11/04,U-19,Tanner Dieterich,Defender,Tennessee
1262,Portland,Portland Timbers,2016/11/04,U-19,Marco Farfan,Defender,Oregon
1263,Frisco,Grand Canyon University,2016/11/04,U-19,Hector Montalvo,Defender,Texas
1264,Medina,Internationals SC,2016/11/04,U-19,John Nelson,Defender,Ohio
1265,Glencoe,Scott Gallagher St. Louis,2016/11/04,U-19,Logan Panchot,Defender,Missouri
1266,San Diego,NY Cosmos,2016/11/04,U-19,Alexis Velela,Defender,California
1267,Seattle,Seattle Sounders FC,2016/11/04,U-19,Habib Barry,Midfielder,Washington
1268,Port Chester,Orlando City SC,2016/11/04,U-19,Pierre Da Silva,Midfielder,New York
1269,Spring Valley,Cal Poly,2016/11/04,U-19,Christian Enriquez,Midfielder,California
1270,Santa Ana,Patedores SC,2016/11/04,U-19,Ronaldo Escudero,Midfielder,California
1271,Murfreesboro,Sporting KC,2016/11/04,U-19,Felipe Hernandez,Midfielder,Tennessee
1272,Bridgeview,Chicago Fire,2016/11/04,U-19,Djordje Mihailovic,Midfielder,Illinois
1273,New York,Alianza Lima,2016/11/04,U-19,Adam Ozeri,Midfielder,New York
1274,Cary,Capitol Area Railhawks,2016/11/04,U-19,Alex Rose,Forward,North Carolina
1275,Chula Vista,Club Tijuana,2016/11/04,U-19,Brandon Vazquez,Forward,California
1276,Berlin,PDA,2016/11/04,U-19,Isaiah Young,Forward,New Jersey
1297,Oxnard,Real Salt Lake,2018/02/02,U-18,David Ochoa,Goalkeeper,California
1298,Palm Harbor,Chargers Soccer Club,2018/02/02,U-18,Jacob Schick,Goalkeeper,Florida
1299,Austin,Philadelphia Union,2018/02/02,U-18,Kris Shakes,Goalkeeper,Texas
1300,Lompoc,Barca Academy,2018/02/02,U-18,Julian Araujo,Defender,California
1301,Wilton,New York City FC,2018/02/02,U-18,Nico Benalcazar,Defender,Connecticut
1302,Karlsruher,Karlsuher SC,2018/02/02,U-18,Ian Hoffmann,Defender,Germany
1303,Woodbrigde,D.C. United,2018/02/02,U-18,Nelson Martinez,Defender,Virginia
1304,Gage Park,Chicago Fire,2018/02/02,U-18,David Mendoza,Defender,Illinois
1305,Corona,LA Galaxy,2018/02/02,U-18,Leonardo Sepulveda,Defender,California
1306,Eden,Unattached,2018/02/02,U-18,Taylor Booth,Midfielder,Utah
1348,Los Angeles,Queretaro,2016/04/15,U-19,Benn Diaz,Goalkeeper,California
1349,Frisco,FC Dallas,2016/04/15,U-19,Ben Hale,Goalkeeper,Texas
1350,Norwalk,LA Galaxy,2016/04/15,U-19,Hugo Arellano,Defender,California
1351,Allentown,West Bromwich Albion,2016/04/15,U-19,Danny Barbir,Defender,Pennsylvania
1352,Surbiton,Fulham FC,2016/04/15,U-19,Marlon Fossey,Defender,England
1353,Sacramento,Sacramento Republic,2016/04/15,U-19,Nabilai Kibunguchy,Defender,California
1354,Frisco,FC Dallas,2016/04/15,U-19,Hector Montalvo,Defender,Texas
1355,San Diego,New York Cosmos,2016/04/15,U-19,Alexis Velela,Defender,California
1356,Palmdale,New York Cosmos,2016/04/15,U-19,Eric Calvillo,Midfielder,California
1357,Port Chester,Orlando City SC,2016/04/15,U-19,Pierre Da Silva,Midfielder,New York
1358,San Diego,Fulham FC,2016/04/15,U-19,Luca De La Torre,Midfielder,California
1359,San Diego,RSL Arizona,2016/04/15,U-19,Sebastien Des Pres,Midfielder,California
1360,Getxo,Athletic Bilbao,2016/04/15,U-19,Ander Egiluz,Midfielder,Spain
1361,Mary Esther,Leg A-Z,2016/04/15,U-19,Nelson Hunsinger,Midfielder,Florida
1362,Little Elm,FC Dallas,2016/04/15,U-19,Weston McKinnie,Midfielder,Texas
1363,Cary,Capital Area Railhawks,2016/04/15,U-19,Colby Agu,Forward,North Carolina
1364,San Diego,Club Tijuana,2016/04/15,U-19,Ernesto Espinoza,Forward,California
1365,San Diego,Unattached,2016/04/15,U-19,Joe Gallardo,Forward,California
1366,Chula Vista,Club Tijuana,2016/04/15,U-19,Brandon Vazquez,Forward,California
1367,Berlin,PDA,2016/04/15,U-19,Isaiah Young,Forward,New Jersey
1368,Miami,Atlanta United FC,2018/07/13,U-20,Justin Garces,Goalkeeper,Florida
1369,Raleigh,Clemson University,2018/07/13,U-20,George Marks,Goalkeeper,North Carolina
1370,Tukwila,Indiana University,2018/07/13,U-20,Trey Muse,Goalkeeper,Washington
1371,South Orange,Hannover 96,2018/07/13,U-20,Chris Gloster,Defender,New Jersey
1372,Berlin,FC Union Berlin,2018/07/13,U-20,Lennard Maloney,Defender,Germany
1373,Garner,N.C. State University,2018/07/13,U-20,Manny Perez,Defender,North Carolina
1374,Seattle,Seattle Sounds FC,2018/07/13,U-20,Sam Rogers,Defender,Washington
1375,Columbia,St. Louis FC,2018/07/13,U-20,Aedan Stanley,Defender,Illinois
1376,Eden,Unattached,2018/07/13,U-20,Taylor Booth,Midfielder,Utah
1377,Atlanta,Atlanta United FC,2018/07/13,U-20,Chris Goslin,Midfielder,Georgia
1378,Casa Grande,Real Salt Lake,2018/07/13,U-20,Richie Ledezma,Midfielder,Arizona
1379,Highland Village,FC Dallas,2018/07/13,U-20,Paxton Pomykal,Midfielder,Texas
1380,Birmingham,FC Dallas,2018/07/13,U-20,Brandon Servania,Midfielder,Alabama
1381,Sarasota,LA Galaxy,2018/07/13,U-20,Aristotle Zarris,Midfielder,Florida
1382,Olmsted Falls,Crew SC Academy,2018/07/13,U-20,Sean Zawadski,Midfielder,Ohio
1383,Miami,Boca Juniors,2018/07/13,U-20,George Acosta,Forward,Florida
1384,Sacramento,LAFC,2018/07/13,U-20,Shaft Brewer Jr.,Forward,California
1385,Evergreen,Indiana University,2018/07/13,U-20,Griffin Dorsey,Forward,Colorado
1386,Hamilton,Indiana University,2018/07/13,U-20,Justin Rennicks,Forward,Massachusetts
1387,Carlsbad,Real Salt Lake,2018/07/13,U-20,Sebastian Soto,Forward,California
1388,Oxnard,Real Salt Lake,2018/05/09,U-20,David Ochoa,Goalkeeper,California
1389,O'Fallon,Saint Louis FC,2018/05/09,U-20,Seth Stiebel,Goalkeeper,Missouri
1390,Phoenix,Real Salt Lake,2018/05/09,U-20,Glademir Mendoza,Defender,Arizona
1391,Garner,N.C. State University,2018/05/09,U-20,Manny Perez,Defender,North Carolina
1392,Drexel Hill,Philadelphia Union,2018/05/09,U-20,Matthew Real,Defender,Pennsylvania
1393,Hoover,FC Dallas,2018/05/09,U-20,Chris Richards,Defender,Alabama
1394,Seattle,Seattle Sounders FC,2018/05/09,U-20,Sam Rogers,Defender,Washington
1395,San Diego,Club Tijuana,2018/05/09,U-20,Angel Uribe,Defender,California
1396,Santa Ana,Pateadores,2018/05/09,U-20,Frankie Amaya,Midfielder,California
1397,Powder Springs,Atlanta United FC,2018/05/09,U-20,Andrew Carleton,Midfielder,Georgia
1398,Atlanta,Atlanta United FC,2018/05/09,U-20,Chris Goslin,Midfielder,Georgia
1399,Miami,Envigado FC,2018/05/09,U-20,Andres Jimenez,Midfielder,Florida
1400,Casa Grande,Real Salt Lake,2018/05/09,U-20,Richie Ledezma,Midfielder,Arizona
1401,Los Angeles,LA Galaxy,2018/05/09,U-20,Alex Mendez,Midfielder,California
1402,Sarasota,LA Galaxy,2018/05/09,U-20,Aristotle Zarris,Midfielder,Florida
1403,Brooklyn,Oakwood Academy SC,2018/05/09,U-20,Simon Becher,Forward,Connecticut
1404,Sacramento,LAFC,2018/05/09,U-20,Shaft Brewer Jr.,Forward,California
1405,Encino,Sporting Kansas City,2018/05/09,U-20,Wilson Harris,Forward,California
1406,Manchester,Virginia Commonwealth University,2018/05/09,U-20,Abdulkadir Haji,Forward,New Hampshire
1407,Lynwood,LA Galaxy,2018/05/09,U-20,Ulysses Llanez Jr.,Forward,California
1408,Hamilton,Indiana University,2018/05/09,U-20,Justin Rennicks,Forward,Massachusetts
1409,Philadelphia,S.L. Benfica,2018/03/16,U-20,CJ Dos Santos,Goalkeeper,Pennsylvania
1410,Minneapolis,Nacional Atlético Clube,2018/03/16,U-20,Phillip Ejimadu,Goalkeeper,Minnesota
1411,Petaluma,FC Köln,2018/03/16,U-20,Brady Scott,Goalkeeper,California
1412,Almere-Stad,AFC Ajax,2018/03/16,U-20,Sergino Dest,Defender,Netherlands
1413,Bear,Philadelphia Union,2018/03/16,U-20,Mark McKenzie,Defender,Delaware
1414,Fort Lauderdale,Seattle Sounders FC,2018/03/16,U-20,Jake Morris,Defender,Florida
1415,Garner,N.C. State University,2018/03/16,U-20,Manny Perez,Defender,North Carolina
1416,Drexel Hill,Philadelphia Union,2018/03/16,U-20,Matthew Real,Defender,Pennsylvania
1417,Seattle,Seattle Sounds FC,2018/03/16,U-20,Sam Rogers,Defender,Washington
1418,Columbia,St. Louis FC,2018/03/16,U-20,Aedan Stanley,Defender,Illinois
1419,San Diego,Club Tijuana,2018/03/16,U-20,Angel Uribe,Defender,California
1420,Santa Ana,Pateadores,2018/03/16,U-20,Frankie Amaya,Midfielder,California
1421,Powder Springs,Atlanta United FC,2018/03/16,U-20,Andrew Carleton,Midfielder,Georgia
1422,Atlanta,Atlanta United FC,2018/03/16,U-20,Chris Goslin,Midfielder,Georgia
1423,Miami,Envigado FC,2018/03/16,U-20,Andres Jimenez,Midfielder,Florida
1424,Casa Grande,Real Salt Lake,2018/03/16,U-20,Richie Ledezma,Midfielder,Arizona
1425,Los Angeles,LA Galaxy,2018/03/16,U-20,Alex Mendez,Midfielder,California
1426,Highland Village,FC Dallas,2018/03/16,U-20,Paxton Pomykal,Midfielder,Texas
1427,Lilbirn,K.S.C. Lokeren Oost-Vlaanderen,2018/03/16,U-20,Juan Pablo Torres,Midfielder,Georgia
1428,Sacramento,Los Angeles FC,2018/03/16,U-20,Shaft Brewer,Forward,California
1429,Clarkston,FC Schalke 04,2018/03/16,U-20,Zyen Jones,Forward,Georgia
1430,Lynwood,LA Galaxy,2018/03/16,U-20,Ulysses Llanez Jr.,Forward,California
1431,New York,FC Köln,2018/03/16,U-20,Nebiyou Perry,Forward,New York
1432,Hamilton,Indiana University,2018/03/16,U-20,Justin Rennicks,Forward,Massachusetts
1433,O'Fallon,SV Werder Bremen,2018/03/16,U-20,Josh Sargent,Forward,Missouri
1510,Newport Beach,University of California,2017/06/03,U-20,Jonathan Klinsmann,Goalkeeper,California
1511,Alamo,Georgetown,2017/06/03,U-20,J.T. Marcinkowski,Goalkeeper,California
1512,Petaluma,De Anza Force,2017/06/03,U-20,Brady Scott,Goalkeeper,California
1513,Salt Lake City,Real Salt Lake,2017/06/03,U-20,Danny Acosta,Defender,Utah
1514,Westcliff-on-Sea,Tottenham Hotspur FC,2017/06/03,U-20,Cameron Carter-Vickers,Defender,England
1515,Tucson,Real Salt Lake,2017/06/03,U-20,Justen Glad,Defender,Arizona
1516,Las Cruces,University of New Mexico,2017/06/03,U-20,Aaron Herrera,Defender,New Mexico
1517,Lee's Summit,Sporting Kansas City,2017/06/03,U-20,Erik Palmer-Brown,Defender,Missouri
1518,Oviedo,Orlando City SC,2017/06/03,U-20,Tommy Redding,Defender,Florida
1519,Media,Philadelphia Union,2017/06/03,U-20,Auston Trusty,Defender,Pennsylvania
1520,Wappingers Falls,New York Red Bulls,2017/06/03,U-20,Tyler Adams,Midfielder,New York
1521,San Diego,Fulham FC,2017/06/03,U-20,Luca de la Torre,Midfielder,California
1522,Philadelphia,Philadelphia Union,2017/06/03,U-20,Derrick Jones,Midfielder,Pennsylvania
1523,Alexandria,University of Maryland,2017/06/03,U-20,Eryk Williamson,Midfielder,Virginia
1524,Bethesda,Arsenal FC,2017/06/03,U-20,Gedion Zelalem,Midfielder,Maryland
1525,Bethesda,Portland Timbers,2017/06/03,U-20,Jeremy Ebobisse,Forward,Maryland
1526,Newport Beach,University of California,2017/05/31,U-20,Jonathan Klinsmann,Goalkeeper,California
1527,Alamo,Georgetown,2017/05/31,U-20,J.T. Marcinkowski,Goalkeeper,California
1528,Petaluma,De Anza Force,2017/05/31,U-20,Brady Scott,Goalkeeper,California
1529,Salt Lake City,Real Salt Lake,2017/05/31,U-20,Danny Acosta,Defender,Utah
1530,Westcliff-on-Sea,Tottenham Hotspur FC,2017/05/31,U-20,Cameron Carter-Vickers,Defender,England
1531,Tucson,Real Salt Lake,2017/05/31,U-20,Justen Glad,Defender,Arizona
1532,Las Cruces,University of New Mexico,2017/05/31,U-20,Aaron Herrera,Defender,New Mexico
1533,Lee's Summit,Sporting Kansas City,2017/05/31,U-20,Erik Palmer-Brown,Defender,Missouri
1534,Oviedo,Orlando City SC,2017/05/31,U-20,Tommy Redding,Defender,Florida
1535,Media,Philadelphia Union,2017/05/31,U-20,Auston Trusty,Defender,Pennsylvania
1536,Wappingers Falls,New York Red Bulls,2017/05/31,U-20,Tyler Adams,Midfielder,New York
1537,San Diego,Fulham FC,2017/05/31,U-20,Luca de la Torre,Midfielder,California
1538,Philadelphia,Philadelphia Union,2017/05/31,U-20,Derrick Jones,Midfielder,Pennsylvania
1539,Alexandria,University of Maryland,2017/05/31,U-20,Eryk Williamson,Midfielder,Virginia
1540,Bethesda,Arsenal FC,2017/05/31,U-20,Gedion Zelalem,Midfielder,Maryland
1541,Bethesda,Portland Timbers,2017/05/31,U-20,Jeremy Ebobisse,Forward,Maryland
1542,Maple Grove,MK Dons,2015/11/11,U-23,Cody Cropper,Goalkeeper,Minnesota
1543,Cleveland,Leeds United,2015/11/11,U-23,Charlie Horton,Goalkeeper,Ohio
1544,Leawood,Sporting Kansas City,2015/11/11,U-23,Jon Kempin,Goalkeeper,Kansas
1545,Berlin,Hertha BSC,2015/11/11,U-23,John Brooks,Defender,Germany
1546,Westcliff on Sea,Tottenham Hotspur,2015/11/11,U-23,Cameron Carter-Vickers,Defender,England
1547,Woodbury,Montreal Impact,2015/11/11,U-23,Eric Miller,Defender,Minnesota
1548,Boulder,Royal Mouscron,2015/11/11,U-23,Shane O’Neill,Defender,Colorado
1549,Edmund,Real Salt Lake,2015/11/11,U-23,Boyd Okwuonu,Defender,Oklahoma
1550,Irvine,LA Galaxy,2015/11/11,U-23,Dave Romney,Defender,California
1551,Los Angeles,LA Galaxy,2015/11/11,U-23,Oscar Sorto,Defender,California
1552,Northville,San Jose Earthquakes,2015/11/11,U-23,Fatai Alashe,Midfielder,Michigan
